105973810,Beam Bump,5.6,Sport 35,Burr Trail / Long Canyon,/v/beam-bump/105973810,/v/burr-trail--long-canyon/105973758
106448362,5.8 Corner,5.8,Trad 1 pitch 60,Burr Trail / Long Canyon,/v/58-corner/106448362,/v/burr-trail--long-canyon/105973758
105973765,Flipper Babies,5.8+,Trad 1 pitch 80,Burr Trail / Long Canyon,/v/flipper-babies/105973765,/v/burr-trail--long-canyon/105973758
105973794,Longs Lies,5.9+,Trad Aid 3 pitches 250,Burr Trail / Long Canyon,/v/longs-lies/105973794,/v/burr-trail--long-canyon/105973758
105973780,Bastard Child,5.10c/d,Trad Sport 1 pitch 80,Burr Trail / Long Canyon,/v/bastard-child/105973780,/v/burr-trail--long-canyon/105973758
106055286,South Face Crack,5.3,Trad Aid 1 pitch 75,Miscellaneous Routes Scatte...,/v/south-face-crack/106055286,/v/miscellaneous-routes-scattered-around/105717083
105717877,Pussy Bolt,5.7,Trad 1 pitch 50,Terrible Twos Wall,/v/pussy-bolt/105717877,/v/terrible-twos-wall/105717027
105717880,Left and Right Practice Cracks,5.9,Trad 1 pitch 40,Terrible Twos Wall,/v/left-and-right-practice-cracks/105717880,/v/terrible-twos-wall/105717027
105718729,Rockfall Crack,5.9,Trad 1 pitch 30,Miscellaneous Routes Scatte...,/v/rockfall-crack/105718729,/v/miscellaneous-routes-scattered-around/105717083
107697797,Seamus Chill,5.9,Trad 2 pitches 110,Capitol Gorge,/v/seamus-chill/107697797,/v/capitol-gorge/106274883
106274886,Classic Handcrack,5.9+,Trad 1 pitch 100,Capitol Gorge,/v/classic-handcrack/106274886,/v/capitol-gorge/106274883
105968330,White Men Cant Jam,5.10a,Trad 1 pitch 75,Basketball Wall/Slickrock D...,/v/white-men-cant-jam/105968330,/v/basketball-wallslickrock-divide/105968325
106280063,False Premonitions ,5.10a,Trad 90,Capitol Gorge,/v/false-premonitions-/106280063,/v/capitol-gorge/106274883
109055762,Bench Warmer,5.10-,Trad 1 pitch 70,Basketball Wall/Slickrock D...,/v/bench-warmer/109055762,/v/basketball-wallslickrock-divide/105968325
106031099,Hawking Radiation,5.10-,Trad 1 pitch 65,The Observatory,/v/hawking-radiation/106031099,/v/the-observatory/106031082
105890709,Sandy Dihedral,5.10b,Trad 1 pitch 80,Grand Wash Area,/v/sandy-dihedral/105890709,/v/grand-wash-area/105717078
106284602,BFF,5.10b,Trad 1 pitch 60,Grand Wash Area,/v/bff/106284602,/v/grand-wash-area/105717078
107116741,Capitol Flake,5.10,Trad 1 pitch 80,Grand Wash Area,/v/capitol-flake/107116741,/v/grand-wash-area/105717078
106043102,SETI,5.10,Trad 1 pitch 100,The Observatory,/v/seti/106043102,/v/the-observatory/106031082
107082511,Capitol Gorgeous ,5.10,Trad 1 pitch 135,Capitol Gorge,/v/capitol-gorgeous-/107082511,/v/capitol-gorge/106274883
108101536,Feeding the Rat,5.10+,Trad 1 pitch 60,The Borderlands,/v/feeding-the-rat/108101536,/v/the-borderlands/107738632
106274825,Soapstone Dihedral,5.11,Trad 1 pitch 50,Terrible Twos Wall,/v/soapstone-dihedral/106274825,/v/terrible-twos-wall/105717027
105718039,Capitol Roof,5.11,Trad 1 pitch 70,Miscellaneous Routes Scatte...,/v/capitol-roof/105718039,/v/miscellaneous-routes-scattered-around/105717083
107413114,North Face Crack,5.11,Trad 1 pitch 60,Miscellaneous Routes Scatte...,/v/north-face-crack/107413114,/v/miscellaneous-routes-scattered-around/105717083
105968877,Phi Slamma Jamma,5.11,Trad 1 pitch 80,Basketball Wall/Slickrock D...,/v/phi-slamma-jamma/105968877,/v/basketball-wallslickrock-divide/105968325
106274803,Terrible Twos,5.11+,Trad 1 pitch 80,Terrible Twos Wall,/v/terrible-twos/106274803,/v/terrible-twos-wall/105717027
106274834,Thinner,5.12-,Trad 1 pitch 65,Terrible Twos Wall,/v/thinner/106274834,/v/terrible-twos-wall/105717027
107678618,Unnamed 5.12,5.12,Trad 40,Capitol Gorge,/v/unnamed-512/107678618,/v/capitol-gorge/106274883
107678613,Mystery Splitter,5.13a,Trad 40,Capitol Gorge,/v/mystery-splitter/107678613,/v/capitol-gorge/106274883
106465083,Slim Jims Crack,5.3,Trad 1 pitch 25,The Cone Area,/v/slim-jims-crack/106465083,/v/the-cone-area/106464993
107113023,Morning Dove,5.3,Trad 100,Three Peaks,/v/morning-dove/107113023,/v/three-peaks/106776323
106235426,Independant Hangover,5.5,Trad 2 pitches 200,Cedar Canyon : Bootleg Butte,/v/independant-hangover/106235426,/v/cedar-canyon/105974172
108493207,Running Scared ,5.5,Trad 40,Brian Head : The Running Scared Wall,/v/running-scared-/108493207,/v/brian-head/106984454
106534630,Septic Death,5.6,Sport 1 pitch 30,Sprocket Rocks,/v/septic-death/106534630,/v/sprocket-rocks/105873351
106534636,Unknown,5.6,Trad Sport TR 30,Sprocket Rocks,/v/unknown/106534636,/v/sprocket-rocks/105873351
106751683,A View To Kill,5.6,Sport 1 pitch 30,Sprocket Rocks,/v/a-view-to-kill/106751683,/v/sprocket-rocks/105873351
